08/23/2024	21400
08/22/2024	21300
08/21/2024	21525
08/20/2024	21575
08/19/2024	21750
08/16/2024	21225
08/15/2024	21175
08/14/2024	19950
08/13/2024	20175
08/12/2024	20250
08/09/2024	20450
08/08/2024	20400
08/07/2024	20500
08/06/2024	20225
08/05/2024	19750
08/02/2024	19600
08/01/2024	17475
07/31/2024	17950
07/30/2024	17150
07/29/2024	17450
07/26/2024	18175
07/25/2024	18075
07/24/2024	18250
07/23/2024	18900
07/22/2024	18775
07/19/2024	18375
07/18/2024	17875
07/17/2024	18100
07/16/2024	18450
07/15/2024	19000
07/12/2024	20975
07/11/2024	20200
07/10/2024	19725
07/08/2024	19505
07/05/2024	19343
07/04/2024	18830
07/03/2024	18795
07/02/2024	19056
07/01/2024	18773
06/28/2024	18590
06/27/2024	18608
06/26/2024	18800
06/25/2024	18031
06/24/2024	17377
06/19/2024	17032
06/18/2024	16670
06/14/2024	16766
06/13/2024	16800
06/12/2024	17381
06/11/2024	17234
06/10/2024	17473
06/07/2024	17541
06/06/2024	17605
06/05/2024	17506
06/04/2024	17811
06/03/2024	18280
05/31/2024	17928
05/30/2024	17232
05/29/2024	17290
05/28/2024	17556
05/27/2024	17525
05/24/2024	17370
05/23/2024	17830
05/22/2024	18082
05/21/2024	17689
05/20/2024	17000
05/17/2024	16100
05/16/2024	15920
05/15/2024	15691
05/14/2024	15253
05/13/2024	15080
05/10/2024	15205
05/09/2024	15300
05/08/2024	15415
05/07/2024	15458
05/06/2024	15300
05/03/2024	15220
05/02/2024	14100
04/30/2024	13304
04/29/2024	13137
04/26/2024	12756
04/25/2024	12319
04/24/2024	12100
04/23/2024	12279
04/22/2024	12080
04/19/2024	12100
04/18/2024	12200
04/17/2024	12402
04/16/2024	12561
04/15/2024	12668
04/12/2024	12647
04/11/2024	13204
04/10/2024	12850
04/09/2024	12994
04/08/2024	12929
04/05/2024	13135
04/04/2024	13125
04/03/2024	13500
03/27/2024	13789
03/26/2024	14125
03/25/2024	14010
03/22/2024	14425
03/21/2024	14276
03/20/2024	14056
03/19/2024	13768
03/18/2024	13619
03/15/2024	13420
03/14/2024	13830
03/13/2024	13639
03/12/2024	13801
03/11/2024	13180
03/08/2024	13262
03/07/2024	13100
03/06/2024	12900
03/05/2024	13178
03/04/2024	13895
03/01/2024	14590
02/29/2024	14335
02/28/2024	14219
02/27/2024	14625
02/26/2024	14860
02/23/2024	15250
02/22/2024	16638
02/21/2024	16000
02/20/2024	16497
02/19/2024	17177
02/16/2024	16445
02/15/2024	17178
02/14/2024	17000
02/09/2024	18016
02/08/2024	18162
02/07/2024	18156
02/06/2024	17777
02/05/2024	18994
02/02/2024	19027
02/01/2024	18873
01/31/2024	17928
01/30/2024	18360
01/29/2024	18705
01/26/2024	18542
01/25/2024	18647
01/24/2024	19400
01/23/2024	37706
01/22/2024	38194
01/19/2024	37744
01/18/2024	35367
01/17/2024	34741
01/16/2024	33582
01/15/2024	32991
01/12/2024	31600
01/11/2024	30615
01/10/2024	31756
01/09/2024	31620
01/08/2024	31524
01/05/2024	29326
01/04/2024	27665
01/03/2024	26250
01/02/2024	25382
12/29/2023	25599
12/28/2023	24931
12/27/2023	23148
12/26/2023	23673
12/22/2023	24894
12/21/2023	25359
12/20/2023	25239
12/19/2023	25769
12/18/2023	25538
12/15/2023	26642
12/14/2023	27000
12/13/2023	27164
12/12/2023	27674
12/11/2023	27039
12/07/2023	26304
12/06/2023	24490
12/05/2023	23858
12/04/2023	23590
12/01/2023	24821
11/30/2023	22645
11/29/2023	22034
11/28/2023	22242
11/27/2023	22901
11/24/2023	23164
11/23/2023	24065
11/22/2023	23889
11/21/2023	21880
11/17/2023	21320
11/16/2023	21231
11/15/2023	21060
11/14/2023	20799
11/13/2023	20291
11/10/2023	20078
11/09/2023	19492
11/08/2023	19078
11/07/2023	19746
11/03/2023	20100
11/02/2023	19351
11/01/2023	19267
10/31/2023	18015
10/30/2023	17457
10/27/2023	17126
10/26/2023	17195
10/25/2023	17898
10/24/2023	18058
10/23/2023	18563
10/20/2023	19844
10/19/2023	18400
10/18/2023	19190
10/17/2023	19897
10/12/2023	19508
10/11/2023	19155
10/10/2023	20031
10/09/2023	18153
10/06/2023	17557
10/05/2023	18070
10/04/2023	18549
10/03/2023	17607
10/02/2023	17401
09/29/2023	17387
09/28/2023	17387
09/27/2023	16491
09/26/2023	16313
09/25/2023	16361
09/22/2023	16022
09/21/2023	16160
09/20/2023	16455
09/19/2023	16437
09/18/2023	16939
09/15/2023	17135
09/14/2023	17251
09/13/2023	17251
09/12/2023	17249
09/11/2023	17474
09/08/2023	17593
09/07/2023	17688
09/06/2023	18084
09/05/2023	18182
09/04/2023	18375
09/01/2023	18167
08/31/2023	17839
08/30/2023	17882
08/29/2023	17469
08/28/2023	16331
08/25/2023	15913
08/24/2023	15473
08/23/2023	15688
08/22/2023	15410
08/18/2023	14934
08/17/2023	14913
08/16/2023	14850
08/15/2023	15035
08/14/2023	14176
08/11/2023	13385
08/10/2023	13786
08/09/2023	12930
08/08/2023	13175
08/07/2023	13504
08/04/2023	12653
08/03/2023	12721
08/02/2023	11058
08/01/2023	11324
07/31/2023	11390
07/28/2023	11141
07/27/2023	10616
07/26/2023	10626
07/25/2023	10705
07/24/2023	10702
07/21/2023	10893
07/20/2023	10607
07/19/2023	10752
07/18/2023	10583
07/17/2023	10465
07/14/2023	10216
07/13/2023	10089
07/12/2023	9843
07/11/2023	9652
07/10/2023	9365
07/07/2023	9941
07/06/2023	9930
07/05/2023	10598
07/04/2023	10138
07/03/2023	10070
06/30/2023	10124
06/29/2023	9869
06/28/2023	10125
06/27/2023	9878
06/26/2023	9850
06/23/2023	10609
06/22/2023	10562
06/21/2023	10221
06/16/2023	10067
06/15/2023	10325
06/14/2023	10084
06/13/2023	10075
06/12/2023	10336
06/09/2023	10053
06/08/2023	10051
06/07/2023	9969
06/06/2023	10324
06/05/2023	10630
06/02/2023	10496
06/01/2023	10400
05/31/2023	10109
05/30/2023	10178
05/29/2023	10725
05/24/2023	10539
05/23/2023	10689
05/22/2023	11002
05/19/2023	10743
05/18/2023	11000
05/17/2023	10639
05/16/2023	10264
05/15/2023	10204
05/12/2023	9962
05/11/2023	9814
05/10/2023	9673
05/09/2023	9411
05/08/2023	9811
05/05/2023	9466
05/04/2023	9086
05/03/2023	9562
05/02/2023	9631
04/28/2023	9692
04/27/2023	9475
04/26/2023	9665
04/25/2023	9558
04/24/2023	9872
04/21/2023	9709
04/20/2023	9389
04/19/2023	9396
04/18/2023	9373
04/17/2023	8951
04/14/2023	8766
04/13/2023	8688
04/12/2023	8370
04/11/2023	8539
04/10/2023	8395
04/05/2023	8511
04/04/2023	8854
04/03/2023	8906
03/31/2023	8912
03/30/2023	8450
03/29/2023	8093
03/28/2023	7802
03/27/2023	7790
03/23/2023	7741
03/22/2023	7864
03/21/2023	8146
03/20/2023	7948
03/17/2023	8072
03/16/2023	8094
03/15/2023	7835
03/14/2023	7946
03/13/2023	7648
03/10/2023	7666
03/09/2023	7747
03/08/2023	7901
03/07/2023	7873
03/06/2023	7830
03/03/2023	7599
03/02/2023	7569
03/01/2023	7415
02/28/2023	7448
02/27/2023	7206
02/24/2023	7069
02/23/2023	6954
02/22/2023	6870
02/17/2023	6799
02/16/2023	6910
02/15/2023	7099
02/14/2023	6983
02/13/2023	6876
02/10/2023	6859
02/09/2023	7076
02/08/2023	7117
02/07/2023	7160
02/06/2023	7148
02/03/2023	7208
02/02/2023	7462
02/01/2023	7391
01/31/2023	7205
01/30/2023	7137
01/27/2023	7516
01/26/2023	7303
01/25/2023	6891
01/24/2023	6669
01/23/2023	6640
01/20/2023	6635
01/19/2023	6377
01/18/2023	6287
01/17/2023	6444
01/16/2023	6493
01/13/2023	6270
01/12/2023	5895
01/11/2023	5220
01/10/2023	5050
01/09/2023	5021
01/06/2023	4953
01/05/2023	4844
01/04/2023	4718
01/03/2023	4742
01/02/2023	4820
12/30/2022	4835
12/29/2022	4903
12/28/2022	4826
12/27/2022	4817
12/26/2022	4898
12/23/2022	4890
12/22/2022	4869
12/21/2022	4997
12/20/2022	4971
12/19/2022	4887
12/16/2022	4660
12/15/2022	4632
12/14/2022	4787
12/13/2022	4841
12/12/2022	4881
12/07/2022	4889
12/06/2022	4954
12/05/2022	4867
12/02/2022	5155
12/01/2022	5105
11/30/2022	5001
11/29/2022	4808
11/28/2022	4964
11/25/2022	5191
11/24/2022	5300
11/23/2022	5224
11/22/2022	5279
11/18/2022	5355
11/17/2022	5178
11/16/2022	5254
11/15/2022	5433
11/14/2022	4979
11/11/2022	5021
11/10/2022	4809
11/09/2022	4568
11/08/2022	4752
11/07/2022	4764
11/04/2022	4732
11/03/2022	4443
11/02/2022	4299
11/01/2022	4650
10/31/2022	4615
10/28/2022	4494
10/27/2022	4278
10/26/2022	4245
10/25/2022	4405
10/24/2022	4184
10/21/2022	4267
10/20/2022	4156
10/19/2022	4123
10/18/2022	4320
10/17/2022	4367
10/14/2022	3956
10/13/2022	4316
10/12/2022	4212
10/11/2022	4254
10/06/2022	4766
10/05/2022	4872
10/04/2022	4868
10/03/2022	4557
09/30/2022	4305
09/29/2022	4229
09/28/2022	4433
09/27/2022	4116
09/26/2022	4149
09/23/2022	4257
09/22/2022	4471
09/21/2022	4540
09/20/2022	4556
09/19/2022	4716
09/16/2022	4622
09/15/2022	4759
09/14/2022	4531
09/13/2022	4418
09/12/2022	4675
09/09/2022	4567
09/08/2022	4378
09/07/2022	4178
09/06/2022	4070
09/05/2022	4039
09/02/2022	4132
09/01/2022	4132
08/31/2022	4230
08/30/2022	4241
08/29/2022	4299
08/26/2022	4316
08/25/2022	4530
08/24/2022	4506
08/23/2022	4430
08/22/2022	4374
08/19/2022	4576
08/18/2022	4802
08/17/2022	4776
08/16/2022	4972
08/12/2022	5138
08/11/2022	4910
08/10/2022	5106
08/09/2022	4772
08/08/2022	4848
08/05/2022	4847
08/04/2022	5045
08/03/2022	4276
08/02/2022	4037
08/01/2022	3816
07/29/2022	3923
07/28/2022	4208
07/27/2022	4391
07/26/2022	4039
07/25/2022	4174
07/22/2022	4134
07/21/2022	4394
07/20/2022	4047
07/19/2022	3710
07/18/2022	3498
07/15/2022	3453
07/14/2022	3238
07/13/2022	3181
07/12/2022	3198
07/11/2022	3287
07/08/2022	3566
07/07/2022	3567
07/06/2022	3271
07/05/2022	3294
07/04/2022	2896
07/01/2022	2775
06/30/2022	2696
06/29/2022	2775
06/28/2022	2769
06/27/2022	2912
06/24/2022	2917
06/23/2022	2771
06/22/2022	2672
06/21/2022	2638
06/16/2022	2478
06/15/2022	2685
06/14/2022	2482
06/13/2022	2510
06/10/2022	2636
06/09/2022	2753
06/08/2022	2888
06/07/2022	2899
06/06/2022	2821
06/03/2022	2767
06/02/2022	2904
06/01/2022	2697
05/31/2022	2761
05/30/2022	2894
05/27/2022	2851
05/26/2022	2791
05/24/2022	2499
05/23/2022	2719
05/20/2022	2709
05/19/2022	2820
05/17/2022	2925
05/16/2022	2925
05/13/2022	2925
05/12/2022	2512
05/11/2022	2363
05/10/2022	2697
05/09/2022	2665
05/06/2022	3233
05/05/2022	3148
05/04/2022	3480
05/03/2022	3449
05/02/2022	3502
04/29/2022	3351
04/28/2022	3568
04/27/2022	3583
04/26/2022	3668
04/25/2022	3630
04/22/2022	3424
04/21/2022	3453
04/20/2022	3536
04/19/2022	3598
04/18/2022	3370
04/13/2022	3623
04/12/2022	3574
04/11/2022	3588
04/08/2022	3678
